INFY	INFOSYS LIMITED
JYOTHYLAB	JYOTHY LABS LTD
THERMAX	THERMAX LTD
RAMCOCEM	THE RAMCO CEMENTS LIMITED
IPCALAB	IPCA LABORATORIES LTD
JSLHISAR	JINDAL STAINLESS (H) LTD
CANFINHOME	CAN FIN HOMES LTD
PIONEEREMB	PIONEER EMBROIDERIES LTD
MANGALAM	MANGALAM DRUG & CHEM LTD
GLAXO	GLAXOSMITHKLINE PHARMA LT
RSSOFTWARE	R. S. SOFTWARE (INDIA) LI
MORARJEE	MORARJEE TEXTILES LIMITED
MIRCELECTR	MIRC ELECTRONICS LTD
RUCHISOYA	RUCHI SOYA INDUSTRIES LTD
BUTTERFLY	BTRFLY GANDHI APPL LTD
LOTUSEYE	LOTUS EYE HOSPITAL LTD.
MTNL	MAHANAGAR TELEPHONE NIGAM
HITECHGEAR	THE HI-TECH GEARS LIMITED
TUBEINVEST	TUBE INVESTMENTS OF INDIA
VISAKAIND	VISAKA INDUSTRIES LIMITED
ELECTCAST	ELECTROSTEEL CASTINGS LTD
DEEPAKFERT	DEEPAK FERTILIZERS & PETR
ARSSINFRA	ARSS INFRA PROJ. LTD
TGBHOTELS	TGB BANQUETS&HOTELS LTD
UNICHEMLAB	UNICHEM LABORATORIES LTD
WELCORP	WELSPUN CORP LIMITED
CYIENT	CYIENT LIMITED
GULFPETRO	GP PETROLEUMS LIMITED
PURVA	PURAVANKARA PROJ. LTD.
ASIANTILES	ASIAN GRANITO IND. LTD.
MONSANTO	MONSANTO INDIA LIMITED
KAJARIACER	KAJARIA CERAMICS LTD
SHILPAMED	SHILPA MEDICARE LTD
MAHINDCIE	MAHINDRA CIE AUTO LTD
PRIMESECU	PRIME SECURITIES LIMITED
SYNGENE	SYNGENE INTERNATIONAL LTD
RAJSREESUG	RAJSHREE SUGAR & CHEMICAL
VARDMNPOLY	VARDHMAN POLYTEX LTD.
HINDCOPPER	HINDUSTAN COPPER LTD
SHALPAINTS	SHALIM PAINTS LTD
CENTURYPLY	CENTURY PLYBOARDS (I) LTD
VIJAYABANK	VIJAYA BANK
SKFINDIA	SKF INDIA LTD
AUTOIND	AUTOLINE INDUSTRIES LTD
SHK	S H KELKAR AND CO. LTD.
HEIDELBERG	HEIDELBERGCEMENT (I) LTD
MAJESCO	MAJESCO LIMITED
MINDACORP	MINDA CORPORATION LTD
GUJNRECOKE	GUJARAT N R E COKE LTD
DHANBANK	DHANLAXMI BANK LIMITED
POLARIS	POLARIS CONSULTG & SER LT
GODREJPROP	GODREJ PROPERTIES LTD
MIC	MIC ELECTRONICS LIMITED
DONEAR	DONEAR IND. LIMITED
GLOBOFFS	GLOBAL OFFSHORE SERV LTD
PHOENIXLL	PHOENIX LAMPS LIMITED
VOLTAMP	VOLTAMP TRANSFORMERS LTD
GET&D	GE T&D INDIA LIMITED
PAPERPROD	HUHTAMAKI PPL LIMITED
VENKEYS	VENKY'S (INDIA) LIMITED
VSTTILLERS	VST TILLERS TRACTORS LTD
NETWORK18	NETWORK18 MEDIA & INV LTD
TTML	TATA TELESERV(MAHARASTRA)
ATUL	ATUL LTD
SHIVAMAUTO	SHIVAM AUTO.LTD
CHEMFALKAL	CHEMFAB ALKALIS LTD
IOB	INDIAN OVERSEAS BANK
DENABANK	DENA BANK
CRISIL	CRISIL LTD
EDL	EMPEE DISTI. LTD.
AVTNPL	AVT NATURAL PRODUCTS LTD
NFL	NATIONAL FERT. LTD
MAHSCOOTER	MAHARASHTRA SCOOTERS LTD
GREAVESCOT	GREAVES COTTON LTD.
HTMEDIA	HT MEDIA LIMITED
RAMANEWS	SHREE RAMA NEWSPRINT LTD
TRENT	TRENT LTD
ADSL	ALLIED DIGITAL SERV. LTD
PRAKASHCON	PRAKASH CONSTROWELL LTD
FEL	FUTURE ENTERPRISES LTD
DPL	DHUNSERI PETROCHEM LTD
ADFFOODS	ADF FOODS LIMITED
SHYAMTEL	SHYAM TELECOM LIMITED
BSLIMITED	BS LIMITED
EVEREADY	EVEREADY INDS. IND.  LTD.
LINCOLN	LINCOLN PHARMA LTD
AVANTIFEED	AVANTI FEEDS LIMITED
VIMTALABS	VIMTA LABS LIMITED
TIIL	TECHNOCRAFT IND LTD
VISHNU	VISHNU CHEMICALS LIMITED
WABAG	VA TECH WABAG LTD
VINATIORGA	VINATI ORGANICS LTD
LINCPEN	LINC PEN & PLASTICS LTD
GALLANTT	GALLANTT METAL LIMITED
TECHNO	TECHNO ELT & ENG CO. LTD
KEC	KEC INTL. LIMITED
SHILPI	SHILPI CABLE TECH LTD
FINCABLES	FINOLEX CABLES LTD
KITEX	KITEX GARMENTS LTD
GEOMETRIC	GEOMETRIC LIMITED
ASTRAMICRO	ASTRA MICROWAVE LTD
DCMSHRIRAM	DCM SHRIRAM LIMITED
FDC	FDC LIMITED
IFGLREFRAC	IFGL REFRACTORIES LTD
JKLAKSHMI	JK LAKSHMI CEMENT LTD
JMTAUTOLTD	JMT AUTO LIMITED
FMGOETZE	FEDERAL-MOGUL GOETZE (IND
SHARONBIO	SHARON BIO-MEDI LTD
MTEDUCARE	MT EDUCARE LTD
BANSWRAS	BANSWARA SYNTEX LIMITED
VINDHYATEL	VINDHYA TELELINKS LTD
NAVKARCORP	NAVKAR CORPORATION LTD.
WABCOINDIA	WABCO INDIA LIMITED
SUNTECK	SUNTECK REALTY LIMITED
BHARATIDIL	BHARATI DEF & INFRA LTD
HOCL	HINDUSTAN ORGANIC CHEMICA
STOREONE	STORE ONE RETAIL IND LTD
SUNDARAM	SUNDARAM MULTI PAP LTD
PIONDIST	PIONEER DIST LTD
CEREBRAINT	CEREBRA INT TECH LTD
CAPLIPOINT	CAPLIN POINT LAB LTD.
LUXIND	LUX INDUSTRIES LIMITED
PDMJEPAPER	PUDUMJEE PAPER PRO. LTD
VLSFINANCE	VLS FINANCE LTD
IIFL	IIFL HOLDINGS LIMITED
NELCO	NELCO LTD
SIYSIL	SIYARAM SILK MILLS LTD
GREENPLY	GREENPLY INDUSTRIES LTD
KALPATPOWR	KALPATARU POWER TRANS. LT
TNPETRO	TAMILNADU PETROPRODUCTS L
SBBJ	STATE BANK OF BIKANER & J
ORICONENT	ORICON ENTERPRISES LTD
LUMAXTECH	LUMAX AUTO TECH LTD
HINDMOTORS	HINDUSTAN MOTORS LIMITED
COFFEEDAY	COFFEE DAY ENTERPRISE LTD
IZMO	IZMO LIMITED
SJVN	SJVN LTD
GVKPIL	GVK POW. & INFRA LTD.
CIGNITITEC	CIGNITI TECHNOLOGIES LTD
OCL	OCL INDIA LTD
NITINSPIN	NITIN SPINNERS LIMITED
TTKPRESTIG	TTK PRESTIGE LTD
DIGJAMLTD	DIGJAM LIMITED
SAGCEM	SAGAR CEMENTS LIMITED
3IINFOTECH	3I INFOTECH LTD.
SPIC	SPIC LTD
INDIANHUME	INDIAN HUME PIPE CO. LTD.
DBCORP	D.B.CORP LTD
SHREYAS	SHREYAS SHIPPING & LOGIST
OPTOCIRCUI	OPTO CIRCUITS (I) LTD.
IGARASHI	IGARASHI MOTORS INDIA LTD
GAL	GYSCOAL ALLOYS LTD
JYOTISTRUC	JYOTI STRUCTURES LTD
BASF	BASF INDIA LTD
PGHH	P&G HYGIENE & HEALTH CARE
CENTENKA	CENTURY ENKA LTD
MANDHANA	MANDHANA INDUS. LTD
GILLETTE	GILLETTE INDIA LTD
SHANTIGEAR	SHANTHI GEARS LTD
PPAP	PPAP AUTOMOTIVE LIMITED
SOLARINDS	SOLAR INDUSTRIES (I) LTD
SONATSOFTW	SONATA SOFTWARE LTD
CORPBANK	CORPORATION BANK
LIBERTSHOE	LIBERTY SHOES LTD
EXCELCROP	EXCEL CROP CARE LTD
KANANIIND	KANANI INDUSTRIES LTD
REPCOHOME	REPCO HOME FINANCE LTD
VICEROY	VICEROY HOTELS LIMITED
RSWM	RSWM LIMITED
ALOKTEXT	ALOK INDUSTRIES LTD
SHIRPUR-G	SHIRPUR GOLD REFINERY LTD
MAXWELL	MAXWELL INDUSTRIES LTD
MCDHOLDING	MCDOWELL HOLDINGS LTD.
INDSWFTLAB	IND SWIFT LABORATORIES LT
PENINLAND	PENINSULA LAND LIMITED
MANINDS	MAN INDUSTRIES (I) LTD.
HGS	HINDUJA GLOBAL SOLS. LTD.
JSWHL	JSW HOLDINGS LIMITED
LML	LML LTD
MUNJALSHOW	MUNJAL SHOWA LTD
MAHABANK	BANK OF MAHARASHTRA
PILITA	PIL ITALICA LIFESTYLE LTD
VARDHACRLC	VARDHAMAN ACRYLICS LTD
SQSBFSI	SQS INDIA BFSI LIMITED
KRBL	KRBL LIMITED
ASHOKA	ASHOKA BUILDCON LTD
TARAPUR	TARAPUR TRANSFORMERS LTD
NH	NARAYANA HRUDAYALAYA LTD.
TALWALKARS	TALWALKAR FITNESS LTD
FRETAIL	FUTURE RETAIL LIMITED
KICL	KALYANI INVEST CO LTD
APARINDS	APAR INDUSTRIES LTD.
EMMBI	EMMBI INDUSTRIES LIMITED
LYPSAGEMS	LYPSA GEMS & JEWEL LTD
MOLDTKPAC	MOLD-TEK PACKAGING LTD
SETFGOLD	SBI-ETF GOLD
AUTOAXLES	AUTOMOTIVE AXLES LIMITED
CYBERTECH	CYBERTECH SYSTEMS & SOFTW
JMCPROJECT	JMC PROJECTS (I) LTD.
NIFTYBEES	NIFTY GOLDMAN SACHS ETF
KOTARISUG	KOTHARI SUG & CHEM LTD.
TAJGVK	TAJ GVK HOTELS & RESORTS
BALMLAWRIE	BALMER LAWRIE & CO LTD
DUCON	DUCON INFRATECHNOLOGIES L
AMBIKCO	AMBIKA COTTON MILL LTD.
HCG	HEALTHCARE GLOB. ENT. LTD
VASCONEQ	VASCON ENGINEERS LTD
KSK	KSK ENERGY VENTURES LTD
JBMA	JBM AUTO LIMITED
PRECAM	PRECISION CAMSHAFTS LTD.
EVERESTIND	EVEREST INDUSTRIES LTD
RAMCOIND	RAMCO INDUSTRIES LIMITED
SWARAJENG	SWARAJ ENGINES LTD
EASUNREYRL	EASUN REYROLLE LTD
TI	TILAKNAGAR INDUSTRIES LTD
KIRLOSENG	KIRLOSKAR OIL ENG LTD
IBWSL	INDIABULLS WHOLESALE SER
PETRONENGG	PETRON ENGG CONSTRUCT LTD
RPPINFRA	R.P.P INFRA PROJECTS LTD
AIFL	ASHAPURA INTI FASHION LTD
MOSERBAER	MOSER-BAER (I) LTD
FEDDERLOYD	FEDDERS LLOYDS CORPORATIO
SETCO	SETCO AUTOMOTIVE LTD
ZENSARTECH	ZENSAR TECHNOLOGIES  LTD
JAGSNPHARM	JAGSONPAL PHARMACEUTICALS
NITINFIRE	NITIN FIRE PROT IND. LTD.
BINANIIND	BINANI INDUSTRIES LTD
INDOCO	INDOCO REMEDIES LTD.
BIL	BHARTIYA INTERNATIONAL
SANOFI	SANOFI INDIA LIMITED
IMFA	INDIAN METALS & FERRO
SICAL	SICAL LOGISTICS LIMITED
BROOKS	BROOKS LAB LIMITED
NAVINFLUOR	NAVIN FLUORINE INT. LTD
LYKALABS	LYKA LABS LTD
NAGAFERT	NAGARJUN FERT AND CHE LTD
PATINTLOG	PATEL INT. LOG. LTD
SUPERSPIN	SUPER SPINNING MILLS LTD
PUNJABCHEM	PUNJAB CHEM & CROP PROT L
TANLA	TANLA SOLUTIONS LIMITED
MHRIL	MAHINDRA HOLIDAYS LTD
KOTHARIPET	KOTHARI PETROCHEM LTD
GENESYS	GENESYS INTL CORPN LTD
MURUDCERA	MURUDESHWAR CERAMICS LTD
SUPRAJIT	SUPRAJIT ENGINEERING LTD
UJAAS	UJAAS ENERGY LIMITED
SAREGAMA	SAREGAMA INDIA LIMITED
LITL	LANCO INFRATECH LTD.
DHANUKA	DHANUKA AGRITECH LTD
TREEHOUSE	TREE HOUSE EDU LTD
MAYURUNIQ	MAYUR UNIQUOTERS LTD
NOIDATOLL	NOIDA TOLL BRIDGE CO LTD
GTLINFRA	GTL INFRA.LTD
RUBYMILLS	THE RUBY MILLS LTD
SUPREMEINF	SUPREME INFRA. LTD.
HMVL	HINDUSTAN MEDIA VENT LTD
ASTRAL	ASTRAL POLY TECH LTD
PIRPHYTO	PIRAMAL PHYTOCARE LIMITED
BLKASHYAP	B.L.KASHYAP & SON LTD
MMFL	MM FORGINGS LTD
SHRIRAMCIT	SHRIRAM CITYUNI FIN.LTD.
ZUARI	ZUARI AGRO CHEMICALS LTD
JENSONICOL	JENSON & NICHOLSON (IND)
MONNETISPA	MONNET ISPAT & ENERGY LTD
LGBFORGE	LGB FORGE LIMITED
CONTROLPR	CONTROL PRINT LIMITED
GRAVITA	GRAVITA INDIA LIMITED
PFOCUS	PRIME FOCUS LIMITED
SPAL	S. P. APPARELS LIMITED
STEL	STEL HOLDINGS LIMITED
UFO	UFO MOVIEZ INDIA LTD.
KABRAEXTRU	KABRA EXTRUSION TECHNIK L
AGARIND	AGARWAL INDS CORP LTD.
FACT	FACT LTD
WANBURY	WANBURY LIMITED
KNRCON	KNR CONSTRU LTD.
SDBL	SOM DIST & BREW LTD
ASTRAZEN	ASTRAZENECA PHARMA IND LT
SABTN	SRI ADHIKARI BROS.
FILATEX	FILATEX INDIA LTD
POLYPLEX	POLYPLEX CORPORATION LTD
LOVABLE	LOVABLE LINGERIE LTD
GARWALLROP	GARWARE-WALL ROPES LTD
SADBHAV	SADBHAV ENGINEERING LTD
ABBOTINDIA	ABBOTT INDIA LIMITED
PGEL	PG ELECTROPLAST LTD
APLAPOLLO	APL APOLLO TUBES LTD
RMCL	RADHA MADHAV CO. LTD.
TCI	TRANSPORT CORPN OF INDIA
NAHARINDUS	NAHAR INDS ENT LTD
UTTAMSTL	UTTAM GALVA STEELS LTD
ACE	ACTION CONST EQUIP LTD
STAMPEDE	STAMPEDE CAPITAL LTD
MUKANDLTD	MUKAND LTD.
ASHIANA	ASHIANA HOUSING LTD
THIRUSUGAR	THIRU AROORAN SUGARS LTD
KOKUYOCMLN	KOKUYO CAMLIN LIMITED
OMAXAUTO	OMAX AUTOS LTD
GEECEE	GEECEE VENTURES LIMITED
ADHUNIK	ADHUNIK METALIKS LTD.
MOHITIND	MOHIT INDUSTRIES LTD
MEP	MEP INFRA. DEVELOPERS LTD
KTIL	KESAR TER & INFRA LTD
NRBBEARING	NRB BEARING LIMITED
SKIL	SKIL INFRASTRUCTURE LTD.
PFIZER	PFIZER LTD
CUPID	CUPID LIMITED
GPIL	GODAWARI POW & ISP LTD
NUCLEUS	NUCLEUS SOFTWARE EXPORTS
VIDHIDYE	VIDHI DYESTUFFS MFG LTD
NIFTYIWIN	ICICI PRU NIFTY IWIN ETF
AKZOINDIA	AKZO NOBEL INDIA LIMITED
KELLTONTEC	KELLTON TECH SOL LTD
NESCO	NESCO LTD.
NLCINDIA	NLC INDIA LIMITED
EDUCOMP	EDUCOMP SOLUTIONS LTD
PSB	PUNJAB & SIND BANK
ASHAPURMIN	ASHAPURA MINECHEM LTD
KAMATHOTEL	KAMAT HOTELS (I) LTD
MADHUCON	MADHUCON PROJECTS LTD.
KALINDEE	KALINDEE RAIL NR. (E) LTD
ARROWTEX	ARROW TEXTILES LIMITED
IVRCLINFRA	IVRCL LIMITED
PANACEABIO	PANACEA BIOTEC LTD
SEINV	S.E. INVESTMENTS LIMITED
TVVISION	TV VISION LIMITED
PONNIERODE	PONNIE SUGARS (ERODE) LTD
TIL	TIL LTD
UNITEDBNK	UNITED BANK OF INDIA
FLEXITUFF	FLEXITUFF INTER LIMITED
NAHARSPING	NAHAR SPINNING MILLS LTD.
MAHSEAMLES	MAHARASHTRA SEAMLESS LTD
ALLSEC	ALLSEC TECHNOLOGIES LTD
LGBBROSLTD	LG BALAKRISHNAN & BROS
THYROCARE	THYROCARE TECH LTD
SITINET	SITI NETWORKS LIMITED
RKFORGE	RAMKRISHNA FORGINGS LTD
ARSHIYA	ARSHIYA LIMITED
SUTLEJTEX	SUTLEJ TEXT & INDUS LTD
ZEELEARN	ZEE LEARN LIMITED
JAYAGROGN	JAYANT AGRO ORGANICS LTD
MERCK	MERCK LIMITED
BBL	BHARAT BIJLEE LTD
DEN	DEN NETWORKS LTD
INEOSSTYRO	INEOS STYROLUTION IND LTD
APCOTEXIND	APCOTEX INDUSTRIES LIMITE
MRO-TEK	MRO-TEK LIMITED
INDNIPPON	INDIA NIPPON ELECT  LTD
MANGLMCEM	MANGALAM CEMENT LTD
SUMMITSEC	SUMMIT SECURITIES LTD
ISMTLTD	ISMT LIMITED
SRHHYPOLTD	SREE RAYALSEEMA HHP LTD.
TRITURBINE	TRIVENI TURBINE LIMITED
CELEBRITY	CELEBRITY FASHIONS LTD
TRF	TRF LIMITED
GAMMONIND	GAMMON INDIA LTD
GULFOILLUB	GULF OIL LUB. IND. LTD.
DIAPOWER	DIAMOND POWER INFRA LTD
ISFT	INTRASOFT TECH. LTD
SYMPHONY	SYMPHONY LIMITED
PNC	PRITISH NANDY COMMUNICATI
FCL	FINEOTEX CHEMICAL LIMITED
DECCANCE	DECCAN CEMENTS LIMITED
SAKUMA	SAKUMA EXPORTS LIMITED
RELAXO	RELAXO FOOT LTD.
SALZERELEC	SALZER ELECTRONICS LTD
HITECHPLAS	HITECH PLAST LIMITED
KOLTEPATIL	KOLTE PATIL DEV. LTD.
GEPIL	GE POWER INDIA LIMITED
CHROMATIC	CHROMATIC INDIA LTD
NAVNETEDUL	NAVNEET EDUCATION LTD
VIVIDHA	VISAGAR POLYTEX LTD
WONDERLA	WONDERLA HOLIDAYS LTD.
SHRENUJ	SHRENUJ & CO LTD
CINELINE	CINELINE INDIA LIMITED
JAYBARMARU	JAY BHARAT MARUTI LTD
JPINFRATEC	JAYPEE INFRATECH LTD
JUBLINDS	JUBILANT INDUSTRIES LTD
VETO	VETO SWITCHGEAR CABLE LTD
MYSOREBANK	STATE BANK OF MYSORE
RKDL	RAVI KUMAR DIST. LTD.
SRSLTD	SRS LIMITED
INGERRAND	INGERSOLL-RAND INDIA LTD
CEBBCO	COMMERCIAL ENG & CO. LTD
SIGNET	SIGNET INDUSTRIES LIMITED
AJMERA	AJMERA REALTY & INF I LTD
HINDUJAFO	HINDUJA FOUNDRIES LIMITED
SKIPPER	SKIPPER LIMITED
ZICOM	ZICOM ELECT SEC SYS LTD
STERTOOLS	STERLING TOOLS LIMITED
NDTV	NDTV LTD
AROGRANITE	ARO GRANITE IND. LTD.
PHOENIXLTD	THE PHOENIX MILLS LTD
TDPOWERSYS	TD POWER SYSTEMS LTD.
HINDDORROL	HINDUSTAN DORR OLIVER LTD
MAHLIFE	MAHINDRA LIFESPACE DEVLTD
ANKITMETAL	ANKIT MET & POW LTD
ASSAMCO	ASSAM COMPANY INDIA LTD
DCM	DCM LTD
INFOMEDIA	INFOMEDIA PRESS LIMITED
FLFL	FUT LIFESTYLE FASH LTD
ZANDUREALT	ZANDU REALTY LIMITED
JCHAC	JOHNSON CONTROLS HITACHI
SKMEGGPROD	SKM EGG PROD EXPORT(I) LT
KESARENT	KESAR ENTERPRISES LTD.
GAYAPROJ	GAYATRI PROJECTS LTD
NAGAROIL	NAGARJUNA OIL REFINERY
RAINBOWPAP	RAINBOW PAPERS LTD
ALPSINDUS	ALPS INDUSTRIES LTD
ASAHIINDIA	ASAHI INDIA GLASS LIMITED
SANGAMIND	SANGAM (INDIA) LTD
BRIGADE	BRIGADE ENTER. LTD
ICRA	ICRA LIMITED
MAITHANALL	MAITHAN ALLOYS LTD
OMMETALS	OM METALS INFRAPRO LTD
IL&FSENGG	IL&FS ENG AND CONS CO LTD
INSECTICID	INSECTICIDES (I) LTD
TEXMOPIPES	TEXMO PIPE & PRODUCTS LTD
BIGBLOC	BIGBLOC CONSTRUCTION LTD
ANDHRACEMT	ANDHRA CEMENTS LIMITED
BEPL	BHANSALI ENG. POLYMERS LT
HIL	HIL LIMITED
JINDCOT	JINDAL COTEX LTD
COUNCODOS	COUNTRY CONDO'S LIMITED
VESUVIUS	VESUVIUS INDIA LTD
ZYDUSWELL	ZYDUS WELLNESS LIMITED
GALLISPAT	GALLANTT ISPAT LTD
ELAND	E-LAND APPAREL LIMITED
SFCL	STAR FERRO & CEMENT LTD.
NATHBIOGEN	NATH BIO-GENES (I) LTD
ALICON	ALICON CASTALLOY LIMITED
SURYALAXMI	SURYALAKSHMI COT MIL LTD
HONDAPOWER	HONDA SIEL POWER PROD LTD
MONTECARLO	MONTE CARLO FASHIONS LTD.
POWERMECH	POWER MECH PROJECTS LTD.
SYNCOM	SYNCOM HEALTHCARE LTD
PARSVNATH	PARSVNATH DEVELOPER LTD
SHREYANIND	SHREYANS INDUSTRIES LTD
BLUEDART	BLUE DART EXPRESS LTD
ELGIEQUIP	ELGI EQUIPMENTS LTD
MBECL	MCNALLY BH. ENG. CO.LTD
VINYLINDIA	VINYL CHEMICALS (I) LTD.
PEARLPOLY	PEARL POLYMERS LTD
PDPL	PARENTERAL DRUGS LTD
PLASTIBLEN	PLASTIBLENDS INDIA LTD
SPENTEX	SPENTEX IND. LTD
GAMMNINFRA	GAMMON INFRA PROJ LTD.
ESL	ELECTROSTEEL STEELS LTD
CENTUM	CENTUM ELECTRONICS LTD
RAMASTEEL	RAMA STEEL TUBES LIMITED
REFEX	REFEX INDUSTRIES LIMITED
GENUSPOWER	GENUS POWER INFRASTRU LTD
GOLDIAM	GOLDIAM INTERNATIONAL LTD
INDOSOLAR	INDOSOLAR LIMITED
SOTL	SAVITA OIL TECHNOLO. LTD
ITI	ITI LTD
ORBITCORP	ORBIT CORP. LTD.
MPSLTD	MPS LIMITED
PROZONINTU	PROZONE INTU PROPRTIS LTD
GUJFLUORO	GUJARAT FLUOROCHEMICALS L
HOVS	HOV SERVICES LTD
ACCELYA	ACCELYA KALE SOLUTION LTD
SHEMAROO	SHEMAROO ENTER. LTD.
GSCLCEMENT	GUJARAT SIDHEE CEM. LTD.
RELGOLD	R SHARES GOLD ETF
AGCNET	AGC NETWORKS LIMITED
CPSEETF	GOLDMANAMC - CPSEETF
SHRIRAMEPC	SHRIRAM EPC LTD.
PARRYSUGAR	PARRYS SUGAR INDUSTRIES L
SARLAPOLY	SARLA PERF. FIBERS LTD
BARTRONICS	BARTRONICS INDIA LIMITED
PDUMJEIND	PUDUMJEE INDUSTRIES LTD
CONSOFINVT	CONSO. FIN. & HOLD. LTD.
JISLDVREQS	JAIN DVR EQUITY SHARES
REPRO	REPRO INDIA LIMITED
CENTEXT	CENTURY EXTRUSIONS LTD
ELECTHERM	ELECTROTHERM (I) LTD.
KOTAKGOLD	KOTAK GOLD ETF
GENUSPAPER	GENUS P&B LIMITED
BINDALAGRO	OSWAL CHEM. & FERT. LTD.
HOTELEELA	HOTEL LEELA VENTURES LTD
RAMCOSYS	RAMCO SYSTEMS LTD.
SHOPERSTOP	SHOPPERS STOP LIMITED
GEOJITBNPP	GEOJIT BNP P. FIN SER LTD
BLUEBLENDS	BLUE BLENDS (I) LTD
ORIENTBELL	ORIENT BELL LIMITED
JHS	JHS SVEND. LAB. LTD
SANDESH	SANDESH LTD
ORIENTREF	ORIENT REFRACTORIES LTD
VMART	VMART RETAIL LTD
IFBIND	IFB INDUSTRIES LTD
HDFCMFGETF	HDFC GOLD ETF
PGIL	PEARL GLOBAL IND LIMITED
GRINDWELL	GRINDWELL NORTON LIMITED
NEULANDLAB	NEULAND LAB LTD.
SEQUENT	SEQUENT SCIENTIFIC LTD.
HINDCOMPOS	HINDUSTAN COMPOSITES LTD.
PNBGILTS	PNB GILTS LIMITED
SUJANATWR	SUJANA TOWER LIMITED
NAHARPOLY	NAHAR POLY FILMS LIMITED
ZENTEC	ZEN TECHNOLOGIES LIMITED
ARCHIES	ARCHIES LTD
BHARATRAS	BHARAT RASAYAN LTD
ARROWGREEN	ARROW GREENTECH LIMITED
BALAMINES	BALAJI AMINES LIMITED
LUMAXIND	LUMAX INDUSTRIES LTD
PANAMAPET	PANAMA PETROCHEM LTD
SATHAISPAT	SATHAVAHANA ISPAT LTD
GOLDSHARE	UTI GOLD ETF
TEXINFRA	TEXMACO INFRA & HOLDG LTD
KAMDHENU	KAMDHENU LIMITED
OILCOUNTUB	OIL COUNTRY TUBULAR LTD
RAJTV	RAJ TV NETWORK LTD
WEBELSOLAR	WEBSOL ENERGY SYSTEM LTD
BIRLAMONEY	ADITYA BIRLA MONEY LTD
WHEELS	WHEELS INDIA LTD
AARVEEDEN	AARVEE DEN. & EXP. LTD
UNIENTER	UNIPHOS ENTERPRISES LTD
DAAWAT	LT FOODS LIMITED
INDTERRAIN	IND TERRAIN FASHIONS LTD
NITESHEST	NITESH ESTATES LTD
SHAKTIPUMP	SHAKTI PUMPS (I) LTD
HESTERBIO	HESTER BIOSCIENCES LTD
PRAENG	PRAJAY ENG. SYN. LTD.
ESSDEE	ESS DEE ALUM LTD
EVERONN	EVERONN EDUCATION LIMITED
VHL	VARDHMAN HOLDINGS LIMITED
EIHOTEL	EIH LIMITED
RAMKY	RAMKY INFRA LTD
LAMBODHARA	LAMBODHARA TEXTILES LTD.
MANUGRAPH	MANUGRAPH INDIA LIMITED
KOHINOOR	KOHINOOR FOODS LIMITED
MARALOVER	MARAL OVERSEAS LTD
SPHEREGSL	SPHERE GLOBAL SERVICE LTD
SWELECTES	SWELECT ENERGY SYS LTD
HEG	HEG LTD
UNITY	UNITY INFRAPROJECTS LTD
KILITCH	KILITCH DRUGS INDIA LTD
LOKESHMACH	LOKESH MACHINES LTD
MADHAV	MADHAV MARBLE & GRANITE
N100	MOST SHARES N100 ETF
DYNAMATECH	DYNAMATIC TECHNOLOGIES
ATFL	AGRO TECH FOODS LIMITED
EMAMIINFRA	EMAMI INFRASTRUCTURE LTD
KRIDHANINF	KRIDHAN INFRA LIMITED
SHIVTEX	SHIVA TEXYARN LIMITED
GANECOS	GANESHA ECOSPHERE LIMITED
RJL	RENAISSANCE JEWEL. LTD.
GUJNREDVR	GUJ NRE DVR 'B' CLASS
INDLMETER	IMP POWERS LTD
LAOPALA	LA OPALA RG LIMITED
PRESSMN	PRESSMAN ADVERTISING LTD
SURANASOL	SURANA SOLAR LIMITED
INDBANK	INDBANK MERCH BANK
GUFICBIO	GUFIC BIOSCIENCES LTD.
SUJANAUNI	SUJANA UNI. INDS. LTD.
SOMANYCERA	SOMANY CERAMICS LIMITED
SAKSOFT	SAKSOFT LIMITED
PTL	PTL ENTERPRISES LTD
REIAGROLTD	REI AGRO LIMITED
MENONBE	MENON BEARINGS LIMITED
SANGHVIFOR	SANGHVI FOR & ENG LTD
20MICRONS	20 MICRONS LTD
INFINITE	INFINITE COMPUTER SOL LTD
SABEVENTS	SAB EVENTS & GOVERNANCE
USHERAGRO	USHER AGRO LTD
CIMMCO	CIMMCO LIMITED
COMPINFO	COMPUAGE INFOCOM LTD
BAFNAPHARM	BAFNA PHARMACEUTICALS L
MADRASFERT	MADRAS FERTILISERS LTD
MARATHON	MARATHON NXTGEN REALT LTD
PRAKASHSTL	PRAKASH STEELAGE LTD
ANSALAPI	ANSAL PROP & INFRA LTD
GREENPOWER	ORIENT GREEN POWER CO LTD
SOMATEX	SOMA TEXTILES & INDUST LT
MAANALU	MAAN ALUMINIUM LIMITED
ARCHIDPLY	ARCHIDPLY IND. LTD
ROHLTD	ROYAL ORCHID HOTELS LTD
GRAPHITE	GRAPHITE INDIA LTD
COMPUSOFT	COMPUCOM SOFTWARE LTD
ENIL	ENTERTAIN NET. IND. LTD.
ANGIND	ANG INDUSTRIES LIMITED
KOTHARIPRO	KOTHARI PRODUCTS LTD
INDORAMA	INDO RAMA SYNTHETICS LTD
ROHITFERRO	ROHIT FERRO-TECH LIMITED
ESSARSHPNG	ESSAR SHIPPING LTD
HOTELRUGBY	HOTEL RUGBY LTD
NIPPOBATRY	INDO-NATIONAL LIMITED
SPECIALITY	SPECIALITY REST LTD
